dwc:occurrenceID,dwc:basisOfRecord,dcterms:modified,dwc:institutionCode,dwc:collectionCode,dwc:catalogNumber,dwc:recordNumber,dwc:fieldNumber,dwc:recordedBy,dwc:organismQuantity,dwc:organismQuantityType,dwc:preparations,dwc:kingdom,dwc:phylum,dwc:class,dwc:order,dwc:family,dwc:genus,dwc:specificEpithet,dwc:infraspecificEpithet,dwc:scientificName,dwc:scientificNameAuthorship,dwc:taxonRank,dwc:taxonomicStatus,dwc:typeStatus,dwc:identifiedBy,dwc:identificationRemarks,dwc:verbatimCoordinates,dwc:locality,dwc:decimalLatitude,dwc:decimalLongitude,dwc:georeferencedBy,dwc:georeferenceVerificationStatus,dwc:verbatimEventDate,dwc:eventDate,dwc:year,dwc:month,dwc:day,dwc:eventRemarks,dwc:occurrenceRemarks
0cc481d0-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,68813,,01/09/1988_Unjab River Scp,"Kleynhans, H.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Lacertidae,Meroles,anchietae,,"Meroles anchietae (Bocage, 1867)","(Bocage, 1867)",species,accepted,,,Meroles anchietae,"20° 10' S 13° 17' E",Unjab River Scp,-20.1666666666,13.2833333333,administrator,Unchecked,DD:0 MM:09 YYYY:1988,1988-09,1988,09,,H Kleynhaus,
0a62149f-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,54650,,26/08/1979_Kameelsleep,"Clarke, J.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Lacertidae,Pedioplanis,,Pedioplanis lineoocellata,Pedioplanis lineoocellata lineoocellata,,subspecies,accepted,,,Pedioplanis lineoocellata lineoocellata,"25° 49' S 20° 44' E",Kameelsleep,-25.8166666666,20.7333333333,administrator,Unchecked,DD:26 MM:08 YYYY:1979,1979-08-26,1979,08,26,J CLARKE,
0a63dd07-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,54809,,01/03/1980_Farm Bergfontein,,1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Pachydactylus,kobosensis,,"Pachydactylus kobosensis Fitzsimons, 1938","Fitzsimons, 1938",species,accepted,,,Pachydactylus kobosensis,"33° 58' S 21° 35' E",Farm Bergfontein,-33.9666666666,21.5833333333,administrator,Unchecked,DD:0 MM:03 YYYY:1980,1980-03,1980,03,,RC BOYCOTT,
08e36317-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,42082,,"16/03/1972_Uis-Brandberg, 18 Km NNE","Haacke, W.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Rhoptropus,barnardi,,"Rhoptropus barnardi Hewitt, 1926","Hewitt, 1926",species,accepted,,,Rhoptropus barnardi,"21° 13' S 14° 52' E","Uis-Brandberg, 18 Km NNE",-21.2166666666,14.8666666666,administrator,Unchecked,DD:16 MM:03 YYYY:1972,1972-03-16,1972,03,16,WD Haacke,
0d221956-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,77043,,"23/01/1981_Farm Suikerkop, 62","Jacobsen, N.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Scincidae,Trachylepis,varia,,"Trachylepis varia (Peters, 1867)","(Peters, 1867)",species,accepted,,,Trachylepis varia,,"Farm Suikerkop, 62",,,,,DD:23 MM:01 YYYY:1981,1981-01-23,1981,01,23,NHG Jacobsen,
0e11fbb8-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,79877,,"13/10/1994_Piggs Peak, 33km N.e. of",,1,individuals,1 Ethanol (70%),Animalia,Chordata,Amphibia,Anura,Arthroleptidae,Leptopelis,mossambicus,,"Leptopelis mossambicus Poynton, 1985","Poynton, 1985",species,accepted,,,Leptopelis mossambicus,"26° 3' S 31° 26' E","Piggs Peak, 33km N.e. of",-26.0500000000,31.4333333333,administrator,Unchecked,DD:13 MM:10 YYYY:1994,1994-10-13,1994,10,13,Boycott,
083612c5-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,32274,,01/05/1966_Langer Heinrich,"Brown, H.D.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Ptenopus,,Ptenopus garrulus,"Ptenopus garrulus maculatus Gray, 1866","Gray, 1866",subspecies,accepted,,,Ptenopus garrulus maculatus,"22° 48' S 15° 20' E",Langer Heinrich,-22.8000000000,15.3333333333,administrator,Unchecked,DD:01 MM:05 YYYY:1966,1966-05-01,1966,05,01,HD Brown,
0a4fdade-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,53023,,15/04/1979_Conception Landing,"Haacke, W.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Lacertidae,Meroles,reticulatus,,"Meroles reticulatus (Bocage, 1867)","(Bocage, 1867)",species,accepted,,,Meroles reticulatus,"24° 0' S 14° 33' E",Conception Landing,-24.0000000000,14.5500000000,administrator,Unchecked,DD:15 MM:04 YYYY:1979,1979-04-15,1979,04,15,WD Haacke,
08d376b5-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,40672,,06/04/1971_Foz De Cunene,"Haacke, W.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Rhoptropus,afer,,"Rhoptropus afer Peters, 1869","Peters, 1869",species,accepted,,,Rhoptropus afer,"17° 16' S 11° 46' E",Foz De Cunene,-17.2666666666,11.7666666666,administrator,Unchecked,DD:06 MM:04 YYYY:1971,1971-04-06,1971,04,06,WD Haacke,
0a6e59cf-02ac-11e3-a7bd-3c2505ab4b76,PreservedSpecimen,,Ditsong,Herpetology,55935,,01/05/1982_Hoanib River Mouth,"Braine, S.",1,individuals,1 Ethanol (70%),Animalia,Chordata,Reptilia,Squamata,Scincidae,Typhlacontias,brevipes,,"Typhlacontias brevipes Fitzsimons, 1938","Fitzsimons, 1938",species,accepted,,,Typhlacontias brevipes,"19° 27' S 12° 49' E",Hoanib River Mouth,-19.4500000000,12.8166666666,administrator,Unchecked,DD:01 MM:05 YYYY:1982,1982-05-01,1982,05,01,S BRAINE,
