catalogNumber,verbatimDet
Amb007479,"Amblypygi, Damon variegatus"
Amb008697,"Amblypygi, Damon variegatus"
Amb008698,"Amblypygi, Damon variegatus"
Amb008699,"Amblypygi, Damon variegatus"
Amb008700,"Amblypygi, Damon variegatus"
Amb008701,"Amblypygi, Damon variegatus"
Amb008702,"Amblypygi, Damon variegatus"
Amb008703,"Amblypygi, Damon variegatus"
Amb008704,"Amblypygi, Damon variegatus"
Amb008705,"Amblypygi, Damon variegatus"
Amb008706,"Amblypygi, Damon variegatus"
Amb008707,"Amblypygi, Damon variegatus"
Amb008708,"Amblypygi, Damon variegatus"
Amb008709,"Amblypygi, Damon variegatus"
Amb008710,"Amblypygi, Damon variegatus"
Amb008711,"Amblypygi, Damon variegatus"
Amb008712,"Amblypygi, Damon variegatus"
Amb008713,"Amblypygi, Damon variegatus"
Amb008714,"Amblypygi, Damon variegatus"
Amb008715,"Amblypygi, Damon variegatus"
Amb008716,"Amblypygi, Damon variegatus"
Amb008717,"Amblypygi, Damon variegatus"
Amb008718,"Amblypygi, Damon variegatus"
Amb008719,"Amblypygi, Damon variegatus"
Amb008720,"Amblypygi, Damon variegatus"
Amb008721,"Amblypygi, Damon variegatus"
Amb008722,"Amblypygi, Damon variegatus"
Amb009140,"Amblypygi, Damon variegatus"
Amb009245,"Amblypygi, Damon variegatus"
Amb009265,"Amblypygi, Damon variegatus"
Amb009806,"Amblypygi, Damon variegatus|Determined by: Peters"
Amb009858,"Amblypygi, Damon variegatus|Determined by: Perty"
Amb009953,"Amblypygi, Damon varigatus"
Amb010522,"Amblypygi, Damon variegatus"
Amb010737,"Amblypygi, Damon variegatus"
Amb010763,Phrynichus scullyi
Amb010764,Phrynichus scullyi
Amb010765,"Amblypygi, Damon variegatus"
Amb010766,"Amblypygi, Damon variegatus"
Amb010797,"Amblypygi, Damon variegatus"
Amb010821,"Amblypygi, Damon variegatus"
Amb010850,"Amblypygi, Damon variegatus"
Amb010858,"Amblypygi, Damon variegatus"
Amb010909,Myodalis scullyi
Amb010975,"Amblypygid, Whip Spider"
Amb011135,"Amblypygid, Whipspider"
Amb011145,"Amblypygid, Whipspider"
Amb011235,"Amblypygi, Damon variegatus"
Amb011271,"Amblypygi, Damon variegatus"
Amb021254,Amblypygi
Ann001501,Rhynchocolus dibranchiatus
Ann001502,"Aciculata, Nereidae, Nereis virens"
Ann001503,"Aciculata, Nereidae, Nereis virens"
Ann001504,"Aciculata, Nereidae, Nereis virens"
Ann001505,"Aciculata, Nereidae, Nereis virens"
Ann001506,"Aciculata, Nereidae, Nereis virens"
Ann001507,"Aciculata, Nereidae, Nereis virens"
Ann001508,"Aciculata, Nereidae, Nereis virens"
Ann001509,"Aciculata, Nereidae, Nereis virens"
Ann001510,"Aciculata, Nereidae, Nereis virens"
Ann001511,"Aciculata, Nereidae, Nereis virens"
Ann001513,"Aciculata, Nereidae, Nereis virens"
Ann001514,"Aciculata, Nereidae, Nereis virens"
Ann001515,"Aciculata, Nereidae, Nereis virens"
Ann001516,"Aciculata, Nereidae, Nereis virens"
Ann001518,Amphitrite
Ann001519,Amphitrite
Ann001529,"Polychaeta, Lepidonotus squamatus "
Ann001530,"Polychaeta, Lepidonotus squamatus "
Ann001531,"Polychaeta, Lepidonotus squamatus "
Ann001532,"Polychaeta, Lepidonotus squamatus "
Ann001533,Nephthys picta
Ann001547,"Aciculata, Nereidae, Nereis virens"
Ann001548,"Aciculata, Nereidae, Nereis virens"
Ann001549,"Aciculata, Nereidae, Nereis virens"
Ann001550,"Aciculata, Nereidae, Nereis virens"
Ann001551,"Aciculata, Nereidae, Nereis virens"
Ann003429,"Phyllodocida, Aphroditidae, Aphrodita aculeata"
Ann003432,"Amphinomida, Amphinomidae, Chloeia flava"
Ann003433,Spirographis spallanganii
Ann005246,"Annelida, Leech"
Ann005285,"Annelida, Leech"
Ann005453,"Annelida, Leeches"
Ann005724,"Annelida, Water Sponge"
Ann005975,"Annelida, Leeches|Determined by: V. Fitzsmons"
Ann006051,"Oligochaeta, Earth worms|Determined by: G. van Dam"
Ann006098,"Annelida, Leeches"
Ann006588,"Annelida, Leeches"
Ann007391,"Oligochaeta, Microchaetidae, Microchaetus saundersi"
Ann007392,"Oligochaeta, Microchaetidae, Microchaetus saundersi"
Ann007393,"Oligochaeta, Microchaetidae, Microchaetus saundersi"
Ann007394,"Oligochaeta, Microchaetidae, Microchaetus saundersi"
Ann007395,"Oligochaeta, Microchaetidae, Microchaetus saundersi"
Ann007901,"Annelida, Leech"
Ann007910,"Annelida, Leech"
Ann007916,"Annelida, Leeches"
Ann007927,Annulate worm
Ann008204,"Oligochaeta, Earthworms"
Ann008615,Parachilota wahlbergi
Ann008691,"Annelida, Leeches"
Ann008776,"Annelida, Leech"
Ann008842,"Oligochaeta, Eath worm"
Ann009047,"Annelida, Leeches"
Ann009281,"Annelida, Glossiphoniidae, Theromyzon lineatum sciaceluitano"
Ann009318,"Oligochaeta, Tubifex natalensis oligochaeta"
Ann009319,"Oligochaeta, Tubifex natalensis oligochaeta"
Ann009321,Nais africana
Ann009322,Nais africana
Ann009323,Nais africana
Ann009324,Nais africana
Ann009325,Nais africana
Ann009326,Nais africana
Ann009327,Nais africana
Ann009328,Nais africana
Ann009329,Nais africana
Ann009330,Nais africana
Ann009331,Nais africana
Ann009332,Nais africana
Ann009419,Parachilota pickfordiae
Ann009421,"Annelida, Lumbricidae, Allolobophora trapezoides"
Ann009422,"Annelida, Lumbricidae, Allolobophora trapezoides"
Ann009423,"Annelida, Lumbricidae, Allolobophora trapezoides"
Ann009783,Parachilota pickfordiae
Ann010193,"Annelida, Glossiphoniidae, Placobdella multistriata"
Ann010194,"Annelida, Glossiphoniidae, Placobdella multistriata"
Ann010223,"Annelida, Hirudinea, Barbronia"
Ann010705,"Annelida, Placobdella multistriata"
Ann010824,Limnatis fenestrata
Ann010825,Limnatis fenestrata
Ann010826,Limnatis fenestrata
Ann010888,Parachilota septentrionalis
Ann010905,Limnatis fenestrata
Ann010942,Limnatis fenestrata
Ann010943,Limnatis fenestrata
Ann010944,"Annelida, Leeches"
Ann011072,"Annelida, Glossiphoniidae, Placobdella mulistriata"
Ann011153,Limnatis fenestrata
Ann011154,Limnatis fenestrata
Ann011166,"Annelida, Glossiphoniidae, Placobdella nultistriata"
Ann011281,Glossiphonia macrorhyncha
Ann011282,Glossiphonia macrorhyncha
Ann011283,Glossiphonia macrorhyncha
Ann011284,"Annelida, Glossiphoniidae, Batracobdella cheili"
Ann011285,"Annelida, Glossiphoniidae, Batracobdella cheili"
Ann011286,"Annelida, Glossiphoniidae, Batracobdella cheili"
Ann011287,"Annelida, Glossiphoniidae, Batracobdella cheili"
Ann011288,"Annelida, Glossiphoniidae, Batracobdella conjugata"
Ann011289,"Annelida, Glossiphoniidae, Batracobdella conjugata"
Ann011290,"Annelida, Glossiphoniidae, Batracobdella conjugata"
Ann011291,"Annelida, Glossiphoniidae, Batracobdella conjugata"
Ann011292,"Annelida, Glossiphoniidae, Batracobdella disjuncta"
Ann011293,"Annelida, Glossiphoniidae, Batracobdella disjuncta"
Ann011294,"Annelida, Glossiphoniidae, Batracobdella disjuncta"
Ann011295,"Annelida, Glossiphoniidae, Batracobdella disjuncta"
Ann011296,"Annelida, Glossiphoniidae, Batracobdella disjuncta"
Ann011297,"Annelida, Glossiphoniidae, Batracobdella disjuncta"
Ann011298,"Annelida, Glossiphoniidae, Batracobdella disjuncta"
Ann011299,"Annelida, Glossiphoniidae, Batracobdella disjuncta"
Ann011300,"Annelida, Glossiphoniidae, Batracobdella disjuncta"
Ann011301,"Annelida, Glossiphoniidae, Batracobdella disjuncta"
Ann011302,"Annelida, Glossiphoniidae, Batracobdella disjuncta"
Ann011303,"Annelida, Glossiphoniidae, Batracobdella disjuncta"
Ann011304,"Annelida, Glossiphoniidae, Batracobdella disjuncta"
Ann011305,"Annelida, Glossiphoniidae, Batracobdella disjuncta"
Ann011306,"Annelida, Glossiphoniidae, Batracobdella disjuncta"
Ann011307,"Annelida, Glossiphoniidae, Batracobdella disjuncta"
Ann011308,"Annelida, Glossiphoniidae, Batracobdella disjuncta"
Ann011309,"Annelida, Glossiphoniidae, Batracobdella disjuncta"
Ann011310,"Annelida, Glossiphoniidae, Batracobdella disjuncta"
Ann011311,"Annelida, Glossiphoniidae, Batracobdella disjuncta"
Ann011312,"Annelida, Glossiphoniidae, Placobdella stuhlmanni"
Ann011313,"Annelida, Glossiphoniidae, Placobdella stuhlmanni"
Ann011314,"Annelida, Glossiphoniidae, Placobdella stuhlmanni"
Ann011315,"Annelida, Glossiphoniidae, Placobdella stulmanni"
Ann011316,"Annelida, Glossiphoniidae, Placobdella stulmanni"
Ann011317,"Annelida, Glossiphoniidae, Placobdella stulmanni"
Ann011318,"Annelida, Glossiphoniidae, Placobdella stulmanni"
Ann011319,"Annelida, Glossiphoniidae, Placobdella stulmanni"
Ann011320,"Annelida, Glossiphoniidae, Placobdella stulmanni"
Ann011321,"Annelida, Glossiphoniidae, Placobdella stulmanni"
Ann011322,"Annelida, Glossiphoniidae, Placobdella garoui"
Ann011323,"Annelida, Glossiphoniidae, Placobdella garoui"
Ann011324,"Annelida, Glossiphoniidae, Placobdella garoui"
Ann011325,"Annelida, Glossiphoniidae, Placobdella garoui"
Ann011511,"Oligochaeta, Earthworm"
Ann011512,"Annelida, Glossiphoniidae, Placobdella garoui"
Ann011513,"Annelida, Glossiphoniidae, Placobdella garoui"
Ann011514,"Annelida, Glossiphoniidae, Placobdella garoui"
Ann011515,"Annelida, Glossiphoniidae, Placobdella garoui"
Ann011517,"Annelida, Glossiphoniidae, Placobdella multistriata"
Ann011518,"Annelida, Glossiphoniidae, Placobdella multistriata"
Ann011519,"Annelida, Glossiphoniidae, Placobdella multistriata"
Ann011520,"Annelida, Glossiphoniidae, Placobdella multistriata"
Ann011521,"Annelida, Glossiphoniidae, Placobdella multistriata"
Ann011522,"Annelida, Glossiphoniidae, Placobdella multistriata"
Ann011523,"Annelida, Glossiphoniidae, Placobdella multistriata"
Ann011524,"Annelida, Glossiphoniidae, Placobdella multistriata"
Ann011525,"Annelida, Glossiphoniidae, Placobdella multistriata"
Ann011526,"Annelida, Glossiphoniidae, Placobdella multistriata"
Ann011527,"Annelida, Glossiphoniidae, Placobdella multistriata"
Ann011528,"Annelida, Glossiphoniidae, Placobdella multistriata"
Ann011529,"Annelida, Glossiphoniidae, Placobdella multistrata"
Ann011530,"Annelida, Glossiphoniidae, Placobdella multistriata"
Ann011531,"Annelida, Glossiphoniidae, Placobdella multistriata"
