catalogNumber,verbatimDet
Sco018210,"Scorpiones, Hormuridae, Cheloctonus intermedius Hewitt, 1912"
Sco018211,"Scorpiones, Liochelidae, Opisthacanthus validus"
Sco018211,"Scorpiones, Hormuridae, Cheloctonus intermedius Hewitt, 1912"
Sco018212,"Scorpiones, Liochelidae, Opisthacanthus validus"
Sco018212,"Scorpiones, Hormuridae, Cheloctonus intermedius Hewitt, 1912"
Sco018213,"Scorpiones, Liochelidae, Opisthacanthus validus"
Sco018213,"Scorpiones, Hormuridae, Cheloctonus intermedius Hewitt, 1912"
Sco018214,"Scorpiones, Liochelidae, Opisthacanthus validus"
Sco018214,"Scorpiones, Hormuridae, Cheloctonus intermedius Hewitt, 1912"
Sco018215,"Scorpiones, Liochelidae, Opisthacanthus validus"
Sco018215,"Scorpiones, Hormuridae, Cheloctonus intermedius Hewitt, 1912"
Sco018216,"Scorpiones, Liochelidae, Hadogenes phyllodes"
Sco018216,"Scorpiones, Hormuridae, Hadogenes phyllodes Thorell, 1876"
Sco018217,"Scorpiones, Buthidae, Pseudolychas ochraceus"
Sco018217,"Scorpiones, Buthidae, Pseudolychas ochraceus (Hirst, 1911)"
Sco018218,"Scorpiones, Buthidae, Pseudolychas ochraceus"
Sco018218,"Scorpiones, Buthidae, Pseudolychas ochraceus (Hirst, 1911)"
Sco018219,"Scorpiones, Buthidae, Pseudolychas ochraceus"
Sco018219,"Scorpiones, Buthidae, Pseudolychas ochraceus (Hirst, 1911)"
Sco018220,"Scorpiones, Buthidae, Pseudolychas ochraceus"
Sco018220,"Scorpiones, Buthidae, Pseudolychas ochraceus (Hirst, 1911)"
Sco018221,"Scorpiones, Buthidae, Pseudolychas ochraceus"
Sco018221,"Scorpiones, Buthidae, Pseudolychas ochraceus (Hirst, 1911)"
Sco018222,"Scorpiones, Buthidae, Pseudolychas ochraceus"
Sco018222,"Scorpiones, Buthidae, Pseudolychas ochraceus (Hirst, 1911)"
Sco018223,"Scorpiones, Buthidae, Pseudolychas ochraceus"
Sco018223,"Scorpiones, Buthidae, Pseudolychas ochraceus (Hirst, 1911)"
Sco018224,"Scorpiones, Buthidae, Pseudolychas ochraceus"
Sco018224,"Scorpiones, Buthidae, Pseudolychas ochraceus (Hirst, 1911)"
Sco018225,"Scorpiones, Buthidae, Pseudolychas ochraceus"
Sco018225,"Scorpiones, Buthidae, Pseudolychas ochraceus (Hirst, 1911)"
Sco018226,"Scorpiones, Buthidae, Pseudolychas ochraceus"
Sco018226,"Scorpiones, Buthidae, Pseudolychas ochraceus (Hirst, 1911)"
Sco018227,"Scorpiones, Buthidae, Pseudolychas pegleri"
Sco018227,"Scorpiones, Buthidae, Pseudolychas pegleri (Purcell, 1901)"
Sco018228,"Scorpiones, Buthidae, Pseudolychas ochraceus"
Sco018228,"Scorpiones, Buthidae, Pseudolychas ochraceus (Hirst, 1911)"
Sco018229,"Scorpiones, Buthidae, Pseudolychas ochraceus"
Sco018229,"Scorpiones, Buthidae, Pseudolychas ochraceus (Hirst, 1911)"
Sco018230,"Scorpiones, Buthidae, Pseudolychas ochraceus"
Sco018230,"Scorpiones, Buthidae, Pseudolychas ochraceus (Hirst, 1911)"
Sco018231,"Scorpiones, Buthidae, Pseudolychas ochraceus"
Sco018231,"Scorpiones, Buthidae, Pseudolychas ochraceus (Hirst, 1911)"
Sco018232,"Scorpiones, Buthidae, Pseudolychas ochraceus"
Sco018232,"Scorpiones, Buthidae, Pseudolychas ochraceus (Hirst, 1911)"
Sco018233,"Scorpiones, Scorpionidae, Opistophthalmus latimanus pugnax"
Sco018233,"Scorpiones, Scorpionidae, Opistophthalmus pugnax Thorell, 1876"
Sco018234,"Scorpiones, Scorpionidae, Opistophthalmus latimanus pugnax"
Sco018234,"Scorpiones, Scorpionidae, Opistophthalmus pugnax Thorell, 1876"
Sco018235,"Scorpiones, Scorpionidae, Opistophthalmus latimanus pugnax"
Sco018235,"Scorpiones, Scorpionidae, Opistophthalmus pugnax Thorell, 1876"
Sco018236,"Scorpiones, Scorpionidae, Opistophthalmus latimanus pugnax"
Sco018236,"Scorpiones, Scorpionidae, Opistophthalmus pugnax Thorell, 1876"
Sco018237,"Scorpiones, Scorpionidae, Opistophthalmus latimanus pugnax"
Sco018237,"Scorpiones, Scorpionidae, Opistophthalmus pugnax Thorell, 1876"
Sco018238,"Scorpiones, Scorpionidae, Opistophthalmus latimanus pugnax"
Sco018238,"Scorpiones, Scorpionidae, Opistophthalmus pugnax Thorell, 1876"
Sco018239,"Scorpiones, Scorpionidae, Opistophthalmus latimanus pugnax"
Sco018239,"Scorpiones, Scorpionidae, Opistophthalmus pugnax Thorell, 1876"
Sco018240,"Scorpiones, Scorpionidae, Opistophthalmus latimanus pugnax"
Sco018240,"Scorpiones, Scorpionidae, Opistophthalmus keilandsi Hewitt, 1914"
Sco018241,"Scorpiones, Scorpionidae, Opistophthalmus latimanus pugnax"
Sco018241,"Scorpiones, Scorpionidae, Opistophthalmus pugnax Thorell, 1876"
Sco018242,"Scorpiones, Scorpionidae, Opistophthalmus latimanus pugnax"
Sco018242,"Scorpiones, Scorpionidae, Opistophthalmus pugnax Thorell, 1876"
Sco018243,"Scorpiones, Scorpionidae, Opistophthalmus latimanus pugnax"
Sco018243,"Scorpiones, Scorpionidae, Opistophthalmus pugnax Thorell, 1876"
Sco018244,"Scorpiones, Scorpionidae, Opistophthalmus latimanus pugnax"
Sco018244,"Scorpiones, Scorpionidae, Opistophthalmus pugnax Thorell, 1876"
Sco018245,"Scorpiones, Scorpionidae, Opistophthalmus latimanus pugnax"
Sco018245,"Scorpiones, Scorpionidae, Opistophthalmus pugnax Thorell, 1876"
Sco018246,"Scorpiones, Scorpionidae, Opistophthalmus latimanus pugnax"
Sco018246,"Scorpiones, Scorpionidae, Opistophthalmus pugnax Thorell, 1876"
Sco018247,"Scorpiones, Scorpionidae, Opistophthalmus latimanus pugnax"
Sco018247,"Scorpiones, Scorpionidae, Opistophthalmus pugnax Thorell, 1876"
Sco018248,"Scorpiones, Scorpionidae, Opistophthalmus latimanus pugnax"
Sco018248,"Scorpiones, Scorpionidae, Opistophthalmus pugnax Thorell, 1876"
Sco018249,"Scorpiones, Scorpionidae, Opistophthalmus latimanus pugnax"
Sco018249,"Scorpiones, Scorpionidae, Opistophthalmus pugnax Thorell, 1876"
Sco018250,"Scorpiones, Scorpionidae, Opistophthalmus latimanus pugnax"
Sco018250,"Scorpiones, Scorpionidae, Opistophthalmus pugnax Thorell, 1876"
Sco018251,"Scorpiones, Scorpionidae, Opistophthalmus latimanus pugnax"
Sco018251,"Scorpiones, Scorpionidae, Opistophthalmus pugnax Thorell, 1876"
Sco018252,"Scorpiones, Scorpionidae, Opistophthalmus latimanus pugnax"
Sco018252,"Scorpiones, Scorpionidae, Opistophthalmus pugnax Thorell, 1876"
Sco018253,"Scorpiones, Scorpionidae, Opistophthalmus latimanus pugnax"
Sco018253,"Scorpiones, Scorpionidae, Opistophthalmus pugnax Thorell, 1876"
Sco018254,"Scorpiones, Scorpionidae, Opistophthalmus latimanus pugnax"
Sco018254,"Scorpiones, Scorpionidae, Opistophthalmus pugnax Thorell, 1876"
Sco018255,"Scorpiones, Scorpionidae, Opistophthalmus latimanus pugnax"
Sco018255,"Scorpiones, Scorpionidae, Opistophthalmus pugnax Thorell, 1876"
Sco018256,"Scorpiones, Scorpionidae, Opistophthalmus latimanus pugnax"
Sco018256,"Scorpiones, Scorpionidae, Opistophthalmus pugnax Thorell, 1876"
Sco018257,"Scorpiones, Scorpionidae, Opistophthalmus latimanus pugnax"
Sco018257,"Scorpiones, Scorpionidae, Opistophthalmus pugnax Thorell, 1876"
Sco018258,"Scorpiones, Scorpionidae, Opistophthalmus latimanus pugnax"
Sco018258,"Scorpiones, Scorpionidae, Opistophthalmus pugnax Thorell, 1876"
Sco018259,"Scorpiones, Scorpionidae, Opistophthalmus latimanus"
Sco018259,"Scorpiones, Scorpionidae, Opistophthalmus pugnax Thorell, 1876"
Sco018260,"Scorpiones, Buthidae, Buthus trilineatus"
Sco018260,"Scorpiones, Buthidae, Hottentotta trilineatus (Peters, 1861)"
Sco018261,"Scorpiones, Buthidae, Uroplectes otjimbinguensis"
Sco018261,"Scorpiones, Buthidae, Uroplectes otjimbinguensis (Karsch, 1879)"
Sco018262,"Scorpiones, Buthidae, Uroplectes pilosus"
Sco018262,"Scorpiones, Buthidae, Uroplectes sp."
Sco018263,"Scorpiones, Scorpionidae, Opistophthalmus glabrifrons"
Sco018263,"Scorpiones, Hormuridae, Cheloctonus intermedius Hewitt, 1912"
Sco018264,"Scorpiones, Scorpionidae, Opistophthalmus glabrifrons"
Sco018264,"Scorpiones, Hormuridae, Cheloctonus intermedius Hewitt, 1912"
Sco018265,"Scorpiones, Scorpionidae, Opistophthalmus glabrifrons"
Sco018265,"Scorpiones, Hormuridae, Cheloctonus intermedius Hewitt, 1912"
Sco018266,"Scorpiones, Scorpionidae, Opistophthalmus glabrifrons"
Sco018266,"Scorpiones, Hormuridae, Cheloctonus intermedius Hewitt, 1912"
Sco018267,"Scorpiones, Scorpionidae, Opistophthalmus glabrifrons"
Sco018267,"Scorpiones, Hormuridae, Opisthacanthus capensis Thorell, 1876"
Sco018268,"Scorpiones, Liochelidae, Hadogenes gracilis fluvialis"
Sco018268,"Scorpiones, Hormuridae, Hadogenes phyllodes Thorell, 1876"
Sco018269,"Scorpiones, Liochelidae, Hadogenes trichiurus|Determined by: I. Engelbrecht, 2008"
Sco018269,"Scorpiones, Hormuridae, Hadogenes trichiurus (Gervais, 1843)"
Sco018270,"Scorpiones, Liochelidae, Hadogenes trichiurus"
Sco018270,"Scorpiones, Hormuridae, Hadogenes trichiurus (Gervais, 1843)"
Sco018271,"Scorpiones, Liochelidae, Hadogenes minor"
Sco018271,"Scorpiones, Hormuridae, Opisthacanthus laevipes (Pocock, 1893)"
Sco018272,"Scorpiones, Liochelidae, Hadogenes gracilis namaquensis"
Sco018272,"Scorpiones, Hormuridae, Hadogenes phyllodes Thorell, 1876"
Sco018273,"Scorpiones, Liochelidae, Hadogenes gracilis namaquensis"
Sco018273,"Scorpiones, Hormuridae, Hadogenes phyllodes Thorell, 1876"
Sco018274,"Scorpiones, Liochelidae, Hadogenes gracilis namaquensis"
Sco018274,"Scorpiones, Hormuridae, Hadogenes phyllodes Thorell, 1876"
Sco018275,"Scorpiones, Liochelidae, Hadogenes gracilis namaquensis"
Sco018275,"Scorpiones, Hormuridae, Hadogenes phyllodes Thorell, 1876"
Sco018276,"Scorpiones, Liochelidae, Hadogenes gracilis namaquensis"
Sco018276,"Scorpiones, Hormuridae, Hadogenes phyllodes Thorell, 1876"
Sco018277,"Scorpiones, Liochelidae, Hadogenes gracilis namaquensis"
Sco018277,"Scorpiones, Hormuridae, Hadogenes phyllodes Thorell, 1876"
Sco018278,"Scorpiones, Liochelidae, Hadogenes gracilis namaquensis"
Sco018278,"Scorpiones, Hormuridae, Hadogenes phyllodes Thorell, 1876"
Sco018279,"Scorpiones, Buthidae, Uroplectes triangulifer"
Sco018279,"Scorpiones, Buthidae, Uroplectes triangulifer (Thorell, 1876)"
Sco018280,"Scorpiones, Buthidae, Uroplectes triangulifer"
Sco018280,"Scorpiones, Buthidae, Uroplectes triangulifer (Thorell, 1876)"
Sco018281,"Scorpiones, Buthidae, Uroplectes triangulifer"
Sco018281,"Scorpiones, Buthidae, Uroplectes triangulifer (Thorell, 1876)"
Sco018282,"Scorpiones, Buthidae, Uroplectes triangulifer"
Sco018282,"Scorpiones, Buthidae, Uroplectes triangulifer (Thorell, 1876)"
Sco018283,"Scorpiones, Buthidae, Uroplectes triangulifer"
Sco018283,"Scorpiones, Buthidae, Uroplectes triangulifer (Thorell, 1876)"
Sco018284,"Scorpiones, Buthidae, Uroplectes triangulifer"
Sco018284,"Scorpiones, Buthidae, Uroplectes triangulifer (Thorell, 1876)"
Sco018285,"Scorpiones, Vaejovidae, Vejovis spinigerus"
Sco018285,"Scorpiones, Vaejovidae, Paravaejovis spinigerus (Wood, 1863)"
Sco018286,"Scorpiones, Vaejovidae, Vejovis spinigerus"
Sco018286,"Scorpiones, Vaejovidae, Paravaejovis spinigerus (Wood, 1863)"
Sco018287,"Scorpiones, Vaejovidae, Vejovis spinigerus"
Sco018287,"Scorpiones, Vaejovidae, Paravaejovis spinigerus (Wood, 1863)"
Sco018288,"Scorpiones, Buthidae, Parabuthus brachystylus"
Sco018288,"Scorpiones, Buthidae, Parabuthus villosus (Peters, 1862)"
Sco018289,"Scorpiones, Scorpionidae, Opistophthalmus carinatus lawrencei"
Sco018289,"Scorpiones, Scorpionidae, Opistophthalmus lawrencei Newlands, 1969"
Sco018290,"Scorpiones, Scorpionidae, Opistophthalmus lamoralis"
Sco018290,"Scorpiones, Scorpionidae, Opistophthalmus lamorali Prendini, 2000"
Sco018291,"Scorpiones, Ischnuridae, Hadogenes troglodytes"
Sco018292,"Scorpiones, Liochelidae, Hadogenes troglodytes|Determined by: I. Engelbrecht, 2008"
Sco018292,"Scorpiones, Hormuridae, Hadogenes troglodytes (Peters, 1861)"
Sco018293,"Scorpiones, Scorpionidae, Opistophthalmus glabrifrons"
Sco018293,"Scorpiones, Scorpionidae, Opistophthalmus glabrifrons Peters, 1861"
Sco018294,"Scorpiones, Scorpionidae, Opistophthalmus glabrifrons"
Sco018294,"Scorpiones, Scorpionidae, Opistophthalmus glabrifrons Peters, 1861"
Sco018295,"Scorpiones, Scorpionidae, Opistophthalmus glabrifrons"
Sco018295,"Scorpiones, Scorpionidae, Opistophthalmus glabrifrons Peters, 1861"
Sco018296,"Scorpiones, Scorpionidae, Opistophthalmus glabrifrons"
Sco018296,"Scorpiones, Scorpionidae, Opistophthalmus glabrifrons Peters, 1861"
Sco018297,"Scorpiones, Scorpionidae, Opistophthalmus glabrifrons"
Sco018297,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco018298,"Scorpiones, Scorpionidae, Opistophthalmus ecristatus"
Sco018298,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco018299,"Scorpiones, Scorpionidae, Opistophthalmus paucispinulatus"
Sco018299,"Scorpiones, Hormuridae, Cheloctonus jonesii Pocock, 1892"
Sco018300,"Scorpiones, Scorpionidae, Opistophthalmus paucispinulatus"
Sco018300,"Scorpiones, Hormuridae, Cheloctonus jonesii Pocock, 1892"
Sco018301,"Scorpiones, Scorpionidae, Opistophthalmus paucispinulatus"
Sco018301,"Scorpiones, Hormuridae, Opisthacanthus validus Thorell, 1876"
Sco018302,"Scorpiones, Scorpionidae, Opistophthalmus paucispinulatus"
Sco018302,"Scorpiones, Hormuridae, Opisthacanthus validus Thorell, 1876"
Sco018303,"Scorpiones, Scorpionidae, Opistophthalmus paucispinulatus"
Sco018303,"Scorpiones, Hormuridae, Cheloctonus jonesii Pocock, 1892"
Sco018304,"Scorpiones, Scorpionidae, Opistophthalmus paucispinulatus"
Sco018304,"Scorpiones, Hormuridae, Cheloctonus jonesii Pocock, 1892"
Sco018305,"Scorpiones, Scorpionidae, Opistophthalmus paucispinulatus"
Sco018305,"Scorpiones, Hormuridae, Cheloctonus jonesii Pocock, 1892"
Sco018306,"Scorpiones, Scorpionidae, Opistophthalmus paucispinulatus"
Sco018306,"Scorpiones, Hormuridae, Cheloctonus jonesii Pocock, 1892"
Sco018307,"Scorpiones, Buthidae, Uroplectes olivaceus"
Sco018307,"Scorpiones, Buthidae, Uroplectes vittatus (Thorell, 1876)"
Sco018308,"Scorpiones, Buthidae, Uroplectes olivaceus"
Sco018308,"Scorpiones, Buthidae, Uroplectes olivaceus Pocock, 1896"
Sco018309,"Scorpiones, Buthidae, Uroplectes olivaceus"
Sco018309,"Scorpiones, Buthidae, Uroplectes olivaceus Pocock, 1896"
Sco018310,"Scorpiones, Buthidae, Uroplectes olivaceus"
Sco018310,"Scorpiones, Buthidae, Uroplectes vittatus (Thorell, 1876)"
Sco018311,"Scorpiones, Buthidae, Uroplectes olivaceus"
Sco018311,"Scorpiones, Buthidae, Uroplectes olivaceus Pocock, 1896"
Sco018312,"Scorpiones, Buthidae, Uroplectes olivaceus"
Sco018312,"Scorpiones, Buthidae, Uroplectes olivaceus Pocock, 1896"
Sco018313,"Scorpiones, Buthidae, Uroplectes olivaceus"
Sco018313,"Scorpiones, Buthidae, Uroplectes olivaceus Pocock, 1896"
Sco018314,"Scorpiones, Buthidae, Parabuthus flavidus"
Sco018314,"Scorpiones, Buthidae, Parabuthus mossambicensis (Peters, 1861)"
Sco018315,"Scorpiones, Buthidae, Buthotus conspersus"
Sco018315,"Scorpiones, Buthidae, Hottentotta conspersus (Thorell, 1876)"
Sco018316,"Scorpiones, Buthidae, Buthotus trilineatus"
Sco018316,"Scorpiones, Buthidae, Hottentotta trilineatus (Peters, 1861)"
Sco018317,"Scorpiones, Buthidae, Parabuthus brevimanus"
Sco018317,"Scorpiones, Buthidae, Parabuthus glabrimanus Prendini & Esposito, 2010"
Sco018318,"Scorpiones, Buthidae, Parabuthus capensis"
Sco018318,"Scorpiones, Buthidae, Parabuthus capensis (Ehrenberg, 1831)"
Sco018319,"Scorpiones, Buthidae, Parabuthus capensis"
Sco018319,"Scorpiones, Buthidae, Parabuthus capensis (Ehrenberg, 1831)"
Sco018320,"Scorpiones, Buthidae, Uroplectes triangulifer"
Sco018320,"Scorpiones, Buthidae, Uroplectes triangulifer (Thorell, 1876)"
Sco018321,"Scorpiones, Buthidae, Parabuthus granulatus"
Sco018321,"Scorpiones, Buthidae, Parabuthus granulatus (Ehrenberg, 1831)"
Sco018322,"Scorpiones, Buthidae, Lychas rhodesianus"
Sco018322,"Scorpiones, Buthidae, Lychas burdoi (Simon, 1882)"
Sco018323,"Scorpiones, Liochelidae, Hadogenes tityrus|Determined by: L. Prenidni, 2010"
Sco018323,"Scorpiones, Hormuridae, Hadogenes tityrus (Simon, 1888)"
Sco018324,"Scorpiones, Liochelidae, Hadogenes tityrus"
Sco018324,"Scorpiones, Scorpionidae, Opistophthalmus carinatus (Peters, 1861)"
Sco018325,"Scorpiones, Liochelidae, Hadogenes lawrencei|Determined by: L. Prendini, 2010"
Sco018325,"Scorpiones, Hormuridae, Hadogenes lawrencei Newlands, 1972"
Sco018326,"Scorpiones, Liochelidae, Hadogenes tityrus"
Sco018327,"Scorpiones, Liochelidae, Hadogenes tityrus|Determined by: L. Prendini, 2010"
Sco018327,"Scorpiones, Hormuridae, Hadogenes tityrus (Simon, 1888)"
Sco018328,"Scorpiones, Liochelidae, Hadogenes tityrus|Determined by: L. Prendini, 2010"
Sco018328,"Scorpiones, Hormuridae, Hadogenes tityrus (Simon, 1888)"
Sco018329,"Scorpiones, Liochelidae, Hadogenes tityrus|Determined by: L. Prendini, 2010"
Sco018329,"Scorpiones, Hormuridae, Hadogenes tityrus (Simon, 1888)"
Sco018330,"Scorpiones, Liochelidae, Hadogenes tityrus|Determined by: L. Prendini, 2010"
Sco018330,"Scorpiones, Hormuridae, Hadogenes tityrus (Simon, 1888)"
Sco018331,"Scorpiones, Liochelidae, Hadogenes tityrus|Determined by: L. Prendini, 2010"
Sco018331,"Scorpiones, Hormuridae, Hadogenes tityrus (Simon, 1888)"
Sco018332,"Scorpiones, Liochelidae, Hadogenes aff. minor n. sp. 1|Determined by: L. Prendini, 2010"
Sco018332,"Scorpiones, Hormuridae, Hadogenes tityrus (Simon, 1888)"
Sco018333,"Scorpiones, Liochelidae, Hadogenes tityrus|Determined by: L. Prendini, 2010"
Sco018333,"Scorpiones, Hormuridae, Hadogenes tityrus (Simon, 1888)"
Sco018334,"Scorpiones, Liochelidae, Hadogenes tityrus|Determined by: L. Prendini, 2010"
Sco018334,"Scorpiones, Hormuridae, Hadogenes tityrus (Simon, 1888)"
Sco018335,"Scorpiones, Liochelidae, Hadogenes tityrus|Determined by: L. Prendini, 2010"
Sco018335,"Scorpiones, Hormuridae, Hadogenes tityrus (Simon, 1888)"
Sco018336,"Scorpiones, Liochelidae, Hadogenes tityrus|Determined by: L. Prendini, 2010"
Sco018336,"Scorpiones, Hormuridae, Hadogenes tityrus (Simon, 1888)"
Sco018337,"Scorpiones, Liochelidae, Hadogenes tityrus|Determined by: L. Prendini, 2010"
Sco018337,"Scorpiones, Hormuridae, Hadogenes tityrus (Simon, 1888)"
Sco018338,"Scorpiones, Liochelidae, Hadogenes tityrus|Determined by: L. Prendini, 2010"
Sco018338,"Scorpiones, Hormuridae, Hadogenes tityrus (Simon, 1888)"
Sco018339,"Scorpiones, Liochelidae, Hadogenes tityrus|Determined by: L. Prendini, 2010"
Sco018339,"Scorpiones, Hormuridae, Hadogenes tityrus (Simon, 1888)"
Sco018340,"Scorpiones, Liochelidae, Hadogenes tityrus|Determined by: L. Prendini, 2010"
Sco018340,"Scorpiones, Hormuridae, Hadogenes tityrus (Simon, 1888)"
Sco018341,"Scorpiones, Liochelidae, Hadogenes tityrus"
Sco018342,"Scorpiones, Liochelidae, Hadogenes aff. minor n. sp. 1|Determined by: L. Prendini, 2010"
Sco018342,"Scorpiones, Hormuridae, Hadogenes tityrus (Simon, 1888)"
Sco018343,"Scorpiones, Liochelidae, Hadogenes tityrus|Determined by: L. Prendini, 2010"
Sco018343,"Scorpiones, Hormuridae, Hadogenes tityrus (Simon, 1888)"
Sco018344,"Scorpiones, Liochelidae, Hadogenes tityrus"
Sco018345,"Scorpiones, Liochelidae, Hadogenes tityrus|Determined by: L. Prendini, 2010"
Sco018345,"Scorpiones, Hormuridae, Hadogenes tityrus (Simon, 1888)"
Sco018346,"Scorpiones, Liochelidae, Hadogenes tityrus"
Sco018347,"Scorpiones, Liochelidae, Hadogenes tityrus"
Sco018348,"Scorpiones, Liochelidae, Hadogenes tityrus"
Sco018348,"Scorpiones, Hormuridae, Hadogenes tityrus (Simon, 1888)"
Sco018349,"Scorpiones, Liochelidae, Hadogenes tityrus|Determined by: L. Prendini, 2010"
Sco018349,"Scorpiones, Hormuridae, Hadogenes tityrus (Simon, 1888)"
Sco018350,"Scorpiones, Liochelidae, Hadogenes tityrus|Determined by: L. Prendini, 2010"
Sco018350,"Scorpiones, Hormuridae, Hadogenes tityrus (Simon, 1888)"
Sco018351,"Scorpiones, Liochelidae, Hadogenes tityrus|Determined by: L. Prendini, 2010"
Sco018351,"Scorpiones, Hormuridae, Hadogenes tityrus (Simon, 1888)"
Sco018352,"Scorpiones, Liochelidae, Hadogenes tityrus|Determined by: L. Prendini, 2010"
Sco018352,"Scorpiones, Hormuridae, Hadogenes tityrus (Simon, 1888)"
Sco018353,"Scorpiones, Liochelidae, Hadogenes tityrus"
Sco018354,"Scorpiones, Liochelidae, Hadogenes tityrus"
Sco018354,"Scorpiones, Hormuridae, Hadogenes tityrus (Simon, 1888)"
Sco018355,"Scorpiones, Liochelidae, Hadogenes tityrus"
Sco018355,"Scorpiones, Hormuridae, Hadogenes tityrus (Simon, 1888)"
Sco018356,"Scorpiones, Liochelidae, Hadogenes tityrus"
Sco018356,"Scorpiones, Hormuridae, Hadogenes tityrus (Simon, 1888)"
Sco018357,"Scorpiones, Liochelidae, Hadogenes tityrus"
Sco018357,"Scorpiones, Hormuridae, Hadogenes tityrus (Simon, 1888)"
Sco018358,"Scorpiones, Liochelidae, Hadogenes tityrus|Determined by: L. Prendini, 2010"
Sco018358,"Scorpiones, Hormuridae, Hadogenes tityrus (Simon, 1888)"
Sco018359,"Scorpiones, Liochelidae, Hadogenes tityrus|Determined by: L. Prendini, 2010"
Sco018359,"Scorpiones, Hormuridae, Hadogenes tityrus (Simon, 1888)"
Sco018360,"Scorpiones, Liochelidae, Hadogenes tityrus|Determined by: L. Prendini, 2010"
Sco018360,"Scorpiones, Hormuridae, Hadogenes tityrus (Simon, 1888)"
Sco018361,"Scorpiones, Liochelidae, Hadogenes tityrus|Determined by: L. Prendini, 2010"
Sco018361,"Scorpiones, Hormuridae, Hadogenes tityrus (Simon, 1888)"
Sco018362,"Scorpiones, Liochelidae, Hadogenes tityrus|Determined by: L. Prendini, 2010"
Sco018362,"Scorpiones, Hormuridae, Hadogenes tityrus (Simon, 1888)"
Sco018363,"Scorpiones, Liochelidae, Opisthacanthus validus"
Sco018363,"Scorpiones, Hormuridae, Opisthacanthus validus Thorell, 1876"
Sco018364,"Scorpiones, Liochelidae, Opisthacanthus swazianus"
Sco018364,"Scorpiones, Hormuridae, Opisthacanthus validus Thorell, 1876"
Sco018365,"Scorpiones, Liochelidae, Opisthacanthus laevipes"
Sco018365,"Scorpiones, Hormuridae, Opisthacanthus laevipes (Pocock, 1893)"
Sco018366,"Scorpiones, Liochelidae, Opisthacanthus laevipes"
Sco018366,"Scorpiones, Hormuridae, Opisthacanthus laevipes (Pocock, 1893)"
Sco018367,"Scorpiones, Liochelidae, Opisthacanthus validus"
Sco018368,"Scorpiones, Liochelidae, Opisthacanthus validus"
Sco018368,"Scorpiones, Hormuridae, Opisthacanthus validus Thorell, 1876"
Sco018369,"Scorpiones, Liochelidae, Opisthacanthus validus"
Sco018369,"Scorpiones, Hormuridae, Opisthacanthus laevipes (Pocock, 1893)"
Sco018370,"Scorpiones, Liochelidae, Hadogenes granulatus"
Sco018370,"Scorpiones, Hormuridae, Hadogenes granulatus Purcell, 1901"
Sco018371,"Scorpiones, Liochelidae, Hadogenes granulatus"
Sco018371,"Scorpiones, Hormuridae, Hadogenes granulatus Purcell, 1901"
Sco018372,"Scorpiones, Liochelidae, Hadogenes granulatus"
Sco018372,"Scorpiones, Hormuridae, Hadogenes granulatus Purcell, 1901"
Sco018373,"Scorpiones, Liochelidae, Hadogenes gracilis"
Sco018373,"Scorpiones, Hormuridae, Hadogenes gracilis Hewitt, 1909"
Sco018374,"Scorpiones, Liochelidae, Hadogenes gracilis"
Sco018374,"Scorpiones, Hormuridae, Hadogenes gracilis Hewitt, 1909"
Sco018375,"Scorpiones, Liochelidae, Hadogenes gracilis"
Sco018375,"Scorpiones, Hormuridae, Hadogenes gracilis Hewitt, 1909"
Sco018376,"Scorpiones, Liochelidae, Hadogenes gracilis fluvialis|Determined by: I. Engelbrecht, 2008"
Sco018376,"Scorpiones, Hormuridae, Hadogenes phyllodes Thorell, 1876"
Sco018377,"Scorpiones, Buthidae, Parabuthus stridulus"
Sco018377,"Scorpiones, Buthidae, Parabuthus stridulus Hewitt, 1913"
Sco018378,"Scorpiones, Scorpionidae, Opistophthalmus concinnus|Determined by: L. Prendini, 1998"
Sco018378,"Scorpiones, Scorpionidae, Opistophthalmus concinnus Newlands, 1972"
Sco018379,"Scorpiones, Scorpionidae, Opistophthalmus concinnus|Determined by: L. Prendini, 1998"
Sco018379,"Scorpiones, Scorpionidae, Opistophthalmus concinnus Newlands, 1972"
Sco018380,"Scorpiones, Scorpionidae, Opistophthalmus concinnus|Determined by: L. Prendini, 1998"
Sco018380,"Scorpiones, Scorpionidae, Opistophthalmus concinnus Newlands, 1972"
Sco018381,"Scorpiones, Buthidae, Parabuthus granulatus"
Sco018381,"Scorpiones, Buthidae, Parabuthus granulatus (Ehrenberg, 1831)"
Sco018382,"Scorpiones, Liochelidae, Hadogenes gracilis"
Sco018382,"Scorpiones, Hormuridae, Hadogenes gracilis Hewitt, 1909"
Sco018383,"Scorpiones, Liochelidae, Hadogenes granulatus"
Sco018383,"Scorpiones, Hormuridae, Hadogenes granulatus Purcell, 1901"
Sco018384,"Scorpiones, Liochelidae, Hadogenes granulatus"
Sco018384,"Scorpiones, Hormuridae, Hadogenes granulatus Purcell, 1901"
Sco018385,"Scorpiones, Liochelidae, Hadogenes granulatus"
Sco018385,"Scorpiones, Hormuridae, Hadogenes granulatus Purcell, 1901"
Sco018386,"Scorpiones, Liochelidae, Hadogenes granulatus"
