taxonid,fullname,Author
4226,Morula nodosa,
4232,Mundiphaedusa ducalis,
4236,Murex brunneus,
4237,Murex cailleti,
4238,Murex chichoreum,
4239,Murex cornutus,
4240,Murex elenensis,
4242,Murex haustellum,
4243,Murex kiiensis,
4246,Murex messorius,
4248,Murex purdyae,
4250,Murex rectirostris,
4254,Murex torrefactus,
4256,Murex triqueter,
4257,Murex triremis,
4259,Murexiella festivus,
4260,Murexiella gemma,
4262,Muricanthus nigritus,
4263,Muricanthus radix,
4264,Muricopsis lappa,
4265,Muricopsis multiangulata,
4266,Muricopsis ostrearum,
4267,Muricopsis squamulata,
4278,Myseka bidentata,
4287,Mytilus meridionalis,
4289,Mytilus viridis,
4290,Nacella boninensis,
4291,Cellana exarata,
4295,Nacella toreuma,
4300,Nassarius acularis,
4302,Nassarius albus,
4306,Nassarius arcularius,
4311,Nassarius canoides,
4317,Nassarius corniculum,
4324,Nassarius festivus,
4330,Nassarius gracilis,
4331,Nassarius grandiosus,
4336,Nassarius jonasi,
4340,Nassarius luteostomus,
4343,Nassarius miga,
4347,Nassarius mutabilis,
