taxonid,fullname,currentAuthor,suggestedAuthor,source
2986,Dinoplax validifossus,"E.A. Ashby, 1934","Ashby, 1934",Catalogue of Life
2987,Diodora aspera,"(J. Rathke, 1833)","(Rathke, 1833)",Catalogue of Life
2989,Diodora australis,"(C.F.F. von Krauss, 1848)","(Krauss, 1848)",Catalogue of Life
2990,Diodora calyculata,"(G.B. I Sowerby, 1823)","(G. B. Sowerby I, 1823)",Catalogue of Life
2991,Diodora cayenensis,"J.B.P.A. Lamarck, 1822","(Lamarck, 1822)",Catalogue of Life
2992,Diodora crucifera,"(H.A. Pilsbry, 1891)","(Pilsbry, 1891)",Catalogue of Life
2993,Diodora elevata,"(R.W. Dunker, 1846)","(Dunker, 1846)",Catalogue of Life
2994,Diodora elizabethae,"(E.A. Smith, 1901)","(E. A. Smith, 1901)",Catalogue of Life
2995,Diodora graeca,"Auct. non C. Linnaeus, 1758","(Linnaeus, 1758)",Catalogue of Life
2996,Diodora inequalis,"GB Sowerby I, 1835",Sby.,MCZbase
2997,Diodora levicostata,"(E.A. Smith, 1914)","(E. A. Smith, 1914)",Catalogue of Life
2998,Diodora listeri,"d'Orbigny, 1842","(d'Orbigny, 1847)",Catalogue of Life
2999,Diodora mus,"Reeve, 1850","(Reeve, 1850)",Catalogue of Life
3000,Diodora parviforata,"Sowerby, 1889","(G. B. Sowerby III, 1889)",Catalogue of Life
3001,Diodora ruppelli,"(G.B. Sowerby I, 1835)","(Sowerby, 1834)",
3002,Diodora spreta,"(E.A. Smith, 1901)","(E. A. Smith, 1901)",Catalogue of Life
3003,Diplodon berthae,"A.E. Ortmann, 1921","Ortmann, 1921",Catalogue of Life
3004,Diplodon granosus,"(J.G. Bruguière, 1792)","(Bruguière, 1792)",Catalogue of Life
3005,Diplodon vicarius,"A.E. Ortmann, 1921","Ortmann, 1921",Catalogue of Life
3007,Diplodonta orbella,"(Gould, 1851)","(Gould, 1851)",Catalogue of Life
3008,Diplodonta semiaspera,"Philippi, 1836","Philippi, 1836",Catalogue of Life
3009,Diplodonta zelandica,"Gray, 1835","(Gray, 1835)",Catalogue of Life
3010,Diplommatina symmetrica,"E.A. Smith, 1894","Hedley, 1891",Catalogue of Life
3011,Discus patulus,"G.P. Deshayes, 1830","(Deshayes, 1832)",Catalogue of Life
3012,Distorsio anus,"(Linnaeus, 1758)","(Linnaeus, 1758)",Catalogue of Life
3013,Distorsio clathrata,"(J.B.P.A. Lamarck, 1816)","(Lamarck, 1816)",Catalogue of Life
3014,Distorsio reticulata,"P.F. Röding, 1798","Röding, 1798",Catalogue of Life
3015,Divalinga dalliana,"(E.G. Vanatta, 1901)","(Vanatta, 1901)",Catalogue of Life
3018,Dolabella auricularia,"(J. Lightfoot, 1786)","( [Lightfoot] , 1786)",Catalogue of Life
3019,Dolicholatirus bairstowi,"(G.B. III Sowerby, 1886)","(G. B. Sowerby III, 1886)",Catalogue of Life
3020,Donax aemulus,"E.A. Smith, 1878 †","E. A. Smith, 1878",Catalogue of Life
3021,Donax bertini,"H.A. Pilsbry, 1901","Pilsbry, 1901",Catalogue of Life
3022,Donax bipartitus,"G.B. III Sowerby, 1892","G. B. Sowerby III, 1892",Catalogue of Life
3023,Donax brazieri,"Smith, 1892","E. A. Smith, 1892",Catalogue of Life
3024,Donax burnupi,"G.B. III Sowerby, 1894","G. B. Sowerby III, 1894",Catalogue of Life
3025,Donax cuneatus,"C. Linnaeus, 1758","Linnaeus, 1758",Catalogue of Life
3026,Donax deltoides,"J.B.P.A. Lamarck, 1818","Lamarck, 1818",Catalogue of Life
3027,Donax denticulatus,"Linnaeus, 1758","Linnaeus, 1758",Catalogue of Life
3028,Donax faba,"J.F. Gmelin, 1791","Gmelin, 1791",Catalogue of Life
3029,Donax gouldii,"Dall, 1921","Dall, 1921",Catalogue of Life
3030,Donax hanleyanus,"R.A. Philippi, 1847","Philippi, 1847",Catalogue of Life
3031,Donax longissimus,"S.G.A. Jaeckel, 1931","Thiele, 1931",Catalogue of Life
3032,Donax lubricus,"Hanley, 1845","Hanley, 1845",Catalogue of Life
3034,Donax madagascariensis,"W. Wood, 1828","W. Wood, 1828",Catalogue of Life
3035,Donax peruvianus,"G.P. Deshayes, 1855","Deshayes, 1855",Catalogue of Life
3036,Donax punctatostriatus,"S.C.T. Hanley, 1843","Hanley, 1843",Catalogue of Life
3037,Donax rugosus,"C. Linnaeus, 1758","Linnaeus, 1758",Catalogue of Life
3038,Donax scortum,"(C. Linnaeus, 1758)","(Linnaeus, 1758)",Catalogue of Life
3039,Donax semigranosus,"R.W. Dunker, 1877","Dunker, 1877",Catalogue of Life
3040,Donax serra,"L.W. Dillwyn, 1817","Röding, 1798",Catalogue of Life
3041,Donax simplex,"G.B. III Sowerby, 1897","G. B. Sowerby III, 1897",Catalogue of Life
3042,Donax sordidus,"S.C.T. Hanley, 1845","Hanley, 1845",Catalogue of Life
