taxonid,fullname,Author
1878,Buccinum leucostoma,"C.E. Lischke, 1872"
1879,Buccinum strigillatum,"W.H. Dall, 1891"
1880,Buccinum tsubai,"J.T. Kuroda & T. Kikuchi, 1933"
1881,Buccinum undatum,"C. Linnaeus, 1758"
1882,Bufonaria crumena,"Lamarck, 1816"
1883,Bufonaria crumenoides,"A. Valenciennes, 1832"
1884,Bulinus africanus,"C.F.F. von Krauss, 1848"
1885,Bulinus forskalii,"(C.G. Ehrenberg, 1831)"
1887,Bulinus tropicus,"C.F.F. von Krauss, 1848"
1888,Bulla ampulla,"D'Orbigny, 1839"
1889,Bulla botanica,"C. Hedley, 1918"
1890,Bulla gouldiana,"Pilsbry, 1895"
1891,Bulla oblonga,"A. Adams, 1850"
1892,Bulla occidentalis,"A. Adams, 1850"
1893,Bulla peasiana,"H.A. Pilsbry, 1893"
1895,Bulla striata,"Bruguiere, 1792 †"
1896,Bulla tenuissima,"G.B. II Sowerby, 1868"
1897,Bulla vernicosa,"A.A. Gould, 1859"
1898,Bullata bullata,"(I. von Born, 1778)"
1899,Bullia achatina,"J.B.P.A. Lamarck, 1816"
1900,Bullia ancillaeformis,"E.A. Smith, 1906"
1901,Bullia annulata,"Lamarck, 1816"
1902,Bullia callosa,"(W. Wood, 1828)"
1903,Bullia digitalis,"(L.W. Dillwyn, 1817)"
1904,Bullia diluta,"(C.F.F. von Krauss, 1848)"
1905,Bullia grayi,"L.A. Reeve, 1846"
1906,Bullia laevissima,"Gmelin, 1791"
1907,Bullia mauritiana,"J.E. Gray, 1839"
1908,Bullia mozambicensis,"E.A. Smith, 1878"
1909,Bullia natalensis,"(C.F.F. von Krauss, 1848)"
1910,Bullia osculata,"(G.B. III Sowerby, 1900)"
1911,Bullia pura,"J.C. Melvill, 1885"
1912,Bullia rhodostoma,"L.A. Reeve, 1847"
1913,Bullia similis,"G.B. III Sowerby, 1897"
1914,Bullia tenuis,"L.A. Reeve, 1846"
1915,Bullia trifasciata,"E.A. Smith, 1904"
1916,Bullina lineata,"(J.E. Gray, 1825)"
1917,Bullina oblonga,"G.B. III Sowerby, 1897"
1918,Bullina scabra,"O.F. Müller, 1784"
1921,Burnupena catarrhacta,"(J.F. Gmelin, 1791)"
1922,Burnupena cincta,"(Röding, 1798)"
1923,Burnupena delalandii,"L.C. Kiener, 1834"
1924,Burnupena lagenaria,"(J.B.P.A. Lamarck, 1822)"
1925,Burnupena limbosa,"J.B.P.A. Lamarck, 1822"
1926,Burnupena papyracea,"( Bruguière, 1789)"
1927,Burnupena pubescens,"(H.C. Küster, 1858)"
1930,Bursa bufonia,"(J.F. Gmelin, 1791)"
1932,Bursa corrugata,"(Perry, 1811)"
1933,Bursa cruentata,"(G.B. II Sowerby, 1835)"
1934,Bursa crumena,"J.B.P.A. Lamarck, 1816"
1938,Bursa granularis,"(Roding, 1798) †"
1939,Bursa margaritula,"G.P. Deshayes, 1832"
1940,Bursa marginata,"J.F. Gmelin, 1791"
1943,Bursa ranelloides,"(L.A. Reeve, 1844)"
1944,Bursa rhodostoma,"(G.B. II Sowerby, 1835)"
1945,Bursa rosa,"Perry, 1811"
1946,Bursa rubeta,"P.F. Röding, 1798 †"
1948,Bursa spinosa,"H.C.F. Schumacher, 1817"
1949,Bursatella leachii,"H.M.D. de Blainville, 1817"
1950,Burtoa nilotica,"(L. Pfeiffer, 1861)"
1951,Busycon canaliculatum,"C. Linnaeus, 1758"
1952,Busycon carica,"(J.F. Gmelin, 1791)"
1954,Busycon contrarium,"Conrad, 1840"
1955,Busycon perversum,"Linnaeus, 1758"
1957,Cabestana cutacea,"(C. Linnaeus, 1767)"
1959,Caecum amputatum,"C. Hedley, 1894"
1962,Calliostoma aculeatum,"G.B. III Sowerby, 1912"
1963,Calliostoma africanum,"P. Bartsch, 1915"
1964,Calliostoma allporti,"(J.E. Tenison-Woods, 1876)"
1965,Calliostoma annulatum,"(J. Lightfoot, 1786)"
1966,Calliostoma armillata,"W. Wood, 1828"
1967,Dactylastele burnupi,"(E.A. Smith, 1899)"
1970,Calliostoma euglyptum,"(A. Adams, 1855)"
1971,Calliostoma formosense,"E.A. Smith, 1907"
1973,Calliostoma haliarchus,"(J.C. Melvill, 1889)"
1974,Calliostoma jujubinum,"Gmelin, 1791"
1975,Calliostoma layardi,"G.B. III Sowerby, 1897"
1976,Calliostoma ligatum,"Gould, 1852"
1978,Calliostoma multiliratum,"(G.B. III Sowerby, 1875)"
1981,Calliostoma pellucidum,"A. Valenciennes, 1846"
1982,Calliostoma perfragile,"G.B. III Sowerby, 1903"
1984,Calliostoma scotti,"R.N. Kilburn, 1973"
1985,Calliostoma speciosum,"A. Adams, 1855"
1986,Calliostoma tigris,"(J.F. Gmelin, 1791)"
1987,Calliostoma zizyphinum,"(C. Linnaeus, 1758)"
1989,Callipara bullatiana,"C.S. Weaver & J.E. Dupont, 1967"
1990,Callipara queketti,"(E.A. Smith, 1901)"
1991,Callista chinensis,"Holten, 1802 †"
1992,Callista florida,"(J.B.P.A. Lamarck, 1818)"
1993,Callista kingii,"(J.E. Gray in P.P. King, 1827)"
1994,Callista lilacina,"J.B.P.A. Lamarck, 1818"
1995,Callista maculata,"(C. Linnaeus, 1758)"
1996,Callista nimbosa,"Solander, 1786"
1999,Callochiton dentatus,"(L. Spengler, 1797)"
2000,Calpurnus verrucosus,"Linnaeus, 1758"
2001,Calyptraea barnardi,"R.N. Kilburn, 1980"
2002,Calyptraea chinensis,"(C. Linnaeus, 1758)"
2003,Calyptraea helicoidea,"G.B. III Sowerby, 1883"
2004,Calyptraea mamillaris,"Broderip, 1834"
2006,Campanile symbolicum,"Iredale, 1917"
2007,Campeloma decisum,"T. Say, 1817"
2015,Cancellaria reeveana,"J.C.H. Crosse, 1861"
2016,Cancellaria reticulata,"Emmon, 1858 †"
2017,Cancellaria spengleriana,"(G.P. Deshayes, 1830)"
2018,Cancellaria spirata,"J.B.P.A. Lamarck, 1822"
2019,Cancellaria undulata,"(G.B. II Sowerby, 1849)"
2021,Domiporta filaris,"(C. Linnaeus, 1771)"
2024,Seminella peasei,"(W.L.H. Dohrn, 1860)"
2025,Ziba bacillum,"Lamarck, 1811"
2027,Cantharidella tesselata,"A. Adams, 1853"
2032,Trochus fultoni,"J.C. Melvill, 1898"
2035,Cantharidus opalus,"(T. Martyn, 1784)"
2036,Prothalotia pulcherrima,"(W. Wood, 1828)"
2037,Cantharidus purpureus,"(J.F. Gmelin, 1791)"
2047,Cantharus carinifera,H.C. Küster
2048,Cantharus coromandelianus,"(J.B.P.A. Lamarck, 1822)"
2050,Cantharus elegans,"(R.J.L. Guppy, 1866)"
2051,Cantharus erythrostoma,"(Reeve, 1846)"
2052,Pollia fumosa,"(Dillwyn, 1817)"
2053,Cancellopollia insculpta,"(Sowerby III, 1900)"
2054,Prodotia iostoma,"(Gray, 1834)"
2060,Cantharus pallidus,"W.J. Broderip & G.B. I Sowerby, 1829"
2061,Pollia subcostata,"( Krauss, 1848)"
2063,Pollia undosa,"(Linne, 1758)"
2068,Capulus hungaricus,"C. Linnaeus, 1767"
2071,Caracolus marginella,"J.F. Gmelin, 1791"
2073,Cardita floridanus,"T.A. Conrad, 1838"
2075,Cardita sulcata,"J.G. Bruguière, 1792"
2076,Cardita variegata,"Bruguière, 1792"
2077,Carditella capensis,"E.A. Smith, 1885"
2078,Carditella similis,"K.H.J. Thiele & S.G.A. Jaeckel, 1931"
2079,Carditopsis rugosa,"(G.B. III Sowerby, 1892)"
