taxonid,fullname,Author,source
2111,Carinodrillia haliplexa,,
2112,Carunculina parva,"(Barnes, 1823)",Catalogue of Life
2113,Casmaria erinaceus,"(Linnaeus, 1758)",Catalogue of Life
2115,Cassidaria echinophora,"(Linnaeus, 1758)",Catalogue of Life
2119,Cassis bicarinata,"Jonas, 1839",Catalogue of Life
2123,Cassis granulatum,,
2125,Cassis rufa,"(Linnaeus, 1758)",Catalogue of Life
2126,Cassis rugosa,"Röding, 1798",Catalogue of Life
2130,Cassis zeylanica,"Lamarck, 1822",Catalogue of Life
2135,Cavolinia trispinosa,"(Blainville, 1821)",Catalogue of Life
2137,Cecilioides gokweanus,,
2139,Cellana argentatus,Sow.,MCZbase
2146,Scutellastra laticostata,"(Blainville, 1825)",Catalogue of Life
2151,Cellana redimiculum,(Menke),MCZbase
2159,Cepolis bonplande,,
2161,Cerion alveare,,
2163,Cerion dalli,"(Maynard, 1889)",Catalogue of Life
2164,Cerion importeil,,
2167,Cerion mayardi,,
2168,Cerion melanostomum,"Clench, 1934",WoRMS
2169,Cerion mumea,,
2172,Cerion saloutori,,
2180,Cerithidea negewischi,,
2185,Cerithidiopsis fluviatilis,,
2188,Cerithiopsis litteratum,,
2190,Cerithium alexandri,"Tomlin, 1923",Catalogue of Life
2191,Cerithium algicola,"C. B. Adams, 1845",Catalogue of Life
2194,Cerithium articulatum,"A. Adams & Reeve, 1850",Catalogue of Life
2197,Cerithium bifasciatum,"G. B. Sowerby II, 1855",Catalogue of Life
2199,Cerithium chemnitzianum,"Pilsbry, 1901",Catalogue of Life
2202,Cerithium corallinum,Kien,MCZbase
2209,Cerithium fulgata,,
2210,Cerithium humilis,,
2211,Cerithium irroratum,"Gould, 1849",Catalogue of Life
2212,Cerithium literatum,Nomen Nudum,ITIS
2214,Cerithium moniliferum,"Kiener, 1841",Catalogue of Life
2216,Cerithium muscarium,Say,MCZbase
2223,Cerithium sculptum,"Pease, 1869",Catalogue of Life
2226,Cerithium tortulosus,,
2229,Cerithium variabile,"C. B. Adams, 1845",Catalogue of Life
2231,Cerithium vertagus,"(Linnaeus, 1767)",Catalogue of Life
2239,Chama cristata,,
2240,Chama fibula,"Reeve, 1846",Catalogue of Life
2242,Chama iostoma,"Conrad, 1837",Catalogue of Life
2247,Chama pulchella,"Reeve, 1846",Catalogue of Life
2248,Chambardia petersi,"(E. von Martens, 1860)",Catalogue of Life
2251,Charis bicolor,"Gemminger & Harold, 1873",Catalogue of Life
2253,Charonia capax,"Finlay, 1926",Catalogue of Life
2258,Charonia rubicunda,"(Perry, 1811)",Catalogue of Life
2262,Charopa anguiculus,"(Reeve, 1852)",Catalogue of Life
2265,Charopa costulifera,Pfr.,MCZbase
2271,Chicoreus bicolor,,
2275,Chicoreus extraneous,,
2277,Chicoreus foliatus,,
2278,Chicoreus laciniatus,"(G. B. Sowerby II, 1841)",Catalogue of Life
2281,Chicoreus permesta,,
2285,Chicoreus regius,"(Swainson, 1821)",Catalogue of Life
2287,Chicoreus stainforthi,"(Reeve, 1843)",Catalogue of Life
2291,Chione antapurpurea,,
2295,Chione granulata,,
2296,Chione guidia,,
2298,Chione pectorina,Lam.,MCZbase
2299,Chione pubers,,
2302,Radsia nigrovirescens,"(Blainville, 1825)",Catalogue of Life
2309,Chlamys aktinos,"(Petterd, 1886)",
2312,Chlamys circularis,"(Sowerby, 1835)",ITIS
2314,Chlamys delicatula,,
2316,Chlamys farreri,"(Jones & Preston, 1904)",Catalogue of Life
2317,Chlamys flabellum,"(Gmelin, 1791)",Catalogue of Life
2318,Chlamys fultoni,"G. B. Sowerby III, 1904",Catalogue of Life
2319,Chlamys gibbus,"(Linnaeus, 1758)",
2320,Chlamys gloriosa,"(Reeve, 1853)",Catalogue of Life
2322,Chlamys humilis,"G. B. Sowerby III, 1904",Catalogue of Life
2323,Chlamys irradians,"(Lamarck, 1819)",
2325,Chlamys lemniscata,"(Reeve, 1853)",Catalogue of Life
2326,Chlamys leopardus,"(Reeve, 1853)",
2327,Chlamys lividus,,
2329,Chlamys noblis,,
2330,Chlamys nodosus,"(Linnaeus, 1758)",
2331,Chlamys opercularis,"(Linnaeus, 1758)",Catalogue of Life
2332,Chlamys pallium,"(Linnaeus, 1758)",Catalogue of Life
2333,Chlamys senatoria,"(Gmelin, 1791)",Catalogue of Life
2334,Chlamys sentis,"(Reeve, 1853)",ITIS
2335,Chlamys septemradiatus,,
2336,Chlamys squamata,"(Gmelin, 1791)",Catalogue of Life
2338,Chlamys suprasilis,"Finlay, 1928",Catalogue of Life
2339,Chlamys swifti,"(Bernardi, 1858)",
2340,Chlamys tigerina,,
2342,Chlamys varia,"(Linnaeus, 1758)",Catalogue of Life
2343,Chlamys varius,"(Linnaeus, 1758)",WoRMS
2344,Chlamys weberi,"Bavay, 1904",Catalogue of Life
2345,Chloritis radomphala,,
2346,Chlorostoma nigerrima,"(Gmelin, 1791)",Catalogue of Life
2347,Chondrocyclus alabastris,"(Craven, 1881)",Catalogue of Life
2348,Chondrocyclus amathole,"Cole, 2019",Catalogue of Life
2351,Chondrocyclus cooperae,"Cole, 2019",Catalogue of Life
2352,Chondrocyclus devilliersi,"Cole, 2019",Catalogue of Life
2354,Chondrocyclus herberti,"Cole, 2019",Catalogue of Life
2356,Chondrocyclus kevincolei,"Cole, 2019",Catalogue of Life
2357,Chondrocyclus langebergensis,"Cole, 2019",Catalogue of Life
2358,Chondrocyclus meredithae,"van Bruggen, 1983",Catalogue of Life
2360,Chondrocyclus pondoensis,"Cole, 2019",Catalogue of Life
2361,Chondrocyclus pulcherrimus,"Cole, 2019",Catalogue of Life
2362,Chondrocyclus putealis,"Connolly, 1939",Catalogue of Life
2363,Chondrocyclus silvicolus,"Cole, 2019",Catalogue of Life
2364,Chondrocyclus trifimbriatus,"Connolly, 1929",Catalogue of Life
2394,Clathrodrillia incisa,,
2395,Clathrus clathrus,"(Linnaeus, 1758)",Catalogue of Life
2396,Clausilia septemplicata,"Philippi, 1836",Catalogue of Life
2398,Clavatula lobatopsis,"Barnard, 1963",Catalogue of Life
2411,Clionella taxea,"(Röding, 1798)",Catalogue of Life
2412,Clionella tripartita,"(Weinkauff, 1876)",Catalogue of Life
2413,Clithon brevispina,"(Lamarck, 1822)",Catalogue of Life
2414,Clithon corona,"(Linnaeus, 1758)",Catalogue of Life
